['1.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmidmapping_2_0']
['1.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_hybase_jtcpg_article_info']
['1.3', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_user_keywords_weighted']
['1.3', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_article_author_info']
['1.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_dmp_db_account_summary_d']
['1.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_dds_original_article_reproduce_detail_info_d']
['1.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_nearline_recommend_h']
['1.2', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_tmxw_nearline_article_info']
['1.1', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_tmxw_article_info_history']
['1.1', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_article_summary_1d_dg']
['1.1', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_24news_app_event_forward_di']
['1.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_nearline_article_content']
['1.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_wangmai_appdevicemapping_dg']
['1.0', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_log_device_article_summary_h']
['1.0', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_rs_mid_article_info_current_day']
['1.0', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_rs_article_info_current_day']
